iter	RMSE
0	1487.977481
1	1390.637365
2	1297.378923
3	1211.05525
4	1142.098984
5	1077.527764
6	1018.227282
7	968.763938
8	923.1686295
9	882.4654694
10	846.3112922
11	816.0526299
12	786.2249045
13	759.6269215
14	737.2931715
15	717.408211
16	700.9418595
17	684.6668707
18	670.5723992
19	658.3252668
20	645.6359365
21	635.1668858
22	625.0915747
23	617.2142764
24	610.1806529
25	603.1352436
26	596.3915141
27	591.6553952
28	586.786727
29	582.1589919
30	578.319219
31	574.5517055
32	571.4360654
33	568.4388225
34	564.9583891
35	562.7574959
36	559.6384655
37	556.8423597
38	555.0084076
39	553.7584032
40	551.3419399
41	549.4286365
42	547.0108806
43	544.9145165
44	542.7934708
45	541.4402781
46	540.1317593
47	538.0035723
48	536.5649982
49	534.522275
50	533.495939
51	532.0310189
52	530.2059033
53	528.8592249
54	527.3111597
55	525.953439
56	524.9335989
57	524.0783746
58	522.900522
59	521.1006216
60	520.0364315
61	519.148635
62	518.0121214
63	516.1798542
64	514.6503483
65	513.7230537
66	512.2353489
67	510.957634
68	509.1559423
69	507.9085991
70	506.5911834
71	505.4350853
72	504.1871887
73	502.84808
74	500.5243334
75	499.3421069
76	498.7913825
77	496.0166261
78	494.6556546
79	493.2671255
80	492.1615379
81	491.6479264
82	490.8183712
83	490.1159736
84	489.1683758
85	487.6998133
86	486.2540341
87	484.8381969
88	483.8271237
89	482.6969214
90	481.3703303
91	479.4819526
92	479.0837676
93	478.2491357
94	476.4012367
95	475.0058926
96	474.2601741
97	473.6085829
98	472.8397602
99	471.8093846
