iter	Passed	Remaining
0	147	14629
1	158	7785
2	181	5855
3	191	4604
4	206	3919
5	214	3361
6	219	2914
7	224	2577
8	228	2312
9	233	2101
10	238	1927
11	242	1779
12	247	1655
13	252	1548
14	256	1455
15	261	1374
16	266	1301
17	271	1236
18	276	1177
19	281	1124
20	285	1075
21	290	1029
22	295	987
23	299	949
24	304	914
25	309	881
26	316	856
27	475	1221
28	485	1189
29	494	1154
30	543	1210
31	554	1178
32	560	1137
33	565	1098
34	571	1060
35	575	1023
36	581	989
37	585	955
38	590	923
39	595	893
40	602	866
41	608	839
42	613	812
43	619	788
44	628	768
45	639	750
46	647	730
47	653	708
48	659	686
49	665	665
50	671	644
51	676	624
52	682	604
53	686	585
54	691	566
55	701	551
56	709	535
57	715	518
58	721	501
59	726	484
60	731	467
61	736	451
62	741	435
63	746	419
64	751	404
65	758	390
66	765	376
67	773	364
68	782	351
69	790	338
70	795	324
71	800	311
72	806	298
73	811	285
74	816	272
75	820	259
76	825	246
77	830	234
78	835	222
79	840	210
80	845	198
81	850	186
82	855	175
83	859	163
84	864	152
85	869	141
86	874	130
87	879	119
88	884	109
89	889	98
90	894	88
91	899	78
92	904	68
93	909	58
94	914	48
95	918	38
96	923	28
97	928	18
98	933	9
99	937	0
